wf,agent,dur_s,turns,tools,out_tok,cache_read,cache_create,start
"130028c4-9c4","impl-reviewer-T14",25,10,6,65,211773,30480,"2026-08-31T10:07:57Z"
"130028c4-9c4","impl-reviewer-T12",21,8,5,48,148614,36333,"2026-08-31T10:07:14Z"
"130028c4-9c4","implementer-T12",42,17,10,109,424249,38964,"2026-08-31T10:06:28Z"
"130028c4-9c4","implementer-T15",363,87,48,1132,4172708,113749,"2026-08-31T10:14:17Z"
"130028c4-9c4","impl-fixer-T5",42,8,5,51,138724,30190,"2026-08-31T09:44:33Z"
"130028c4-9c4","impl-reviewer-T7",28,14,10,78,275438,43139,"2026-08-31T09:41:57Z"
"130028c4-9c4","impl-reviewer-T15",85,34,21,2031,966246,115554,"2026-08-31T10:20:24Z"
"130028c4-9c4","final-fixer",2085,267,158,11442,37151978,451979,"2026-08-31T10:42:31Z"
"130028c4-9c4","impl-reviewer-T1",21,13,10,353,229220,108323,"2026-08-31T09:34:09Z"
"130028c4-9c4","impl-reviewer-T2",27,16,10,336,333236,42677,"2026-08-31T09:36:22Z"
"130028c4-9c4","implementer-T6",99,22,13,341,618969,44693,"2026-08-31T09:40:42Z"
"130028c4-9c4","implementer-T9",1116,131,74,8978,12598377,279775,"2026-08-31T09:45:18Z"
"130028c4-9c4","impl-fixer-T11",23,9,6,303,168993,20737,"2026-08-31T10:09:50Z"
"130028c4-9c4","impl-reviewer-T5",71,20,11,117,526544,42520,"2026-08-31T09:43:18Z"
"130028c4-9c4","implementer-T4",114,26,15,1775,748566,54919,"2026-08-31T09:36:52Z"
"130028c4-9c4","implementer-T3",55,17,11,365,478375,73866,"2026-08-31T09:34:35Z"
"130028c4-9c4","verifier-2",28,9,5,51,148041,45516,"2026-08-31T11:17:19Z"
"130028c4-9c4","impl-fixer-T4",34,8,5,52,141335,32662,"2026-08-31T09:40:05Z"
"130028c4-9c4","impl-reviewer-T8",24,12,8,311,229997,40812,"2026-08-31T09:42:19Z"
"130028c4-9c4","impl-reviewer-T4",71,22,14,120,509961,51514,"2026-08-31T09:38:50Z"
"130028c4-9c4","implementer-T8",93,16,9,83,355015,31387,"2026-08-31T09:40:43Z"
"130028c4-9c4","implementer-T2",104,15,9,3426,394465,43749,"2026-08-31T09:34:34Z"
"130028c4-9c4","impl-reviewer-T10",121,29,18,143,760075,69004,"2026-08-31T10:10:44Z"
"130028c4-9c4","implementer-T5",153,33,18,135,1126005,57088,"2026-08-31T09:40:42Z"
"130028c4-9c4","verifier",150,12,8,402,236329,50508,"2026-08-31T10:38:18Z"
"130028c4-9c4","impl-reviewer-T6",29,17,11,87,369746,55407,"2026-08-31T09:42:24Z"
"130028c4-9c4","completeness-critic",96,51,35,2184,1959012,179636,"2026-08-31T10:40:52Z"
"130028c4-9c4","impl-reviewer-T13",34,16,10,499,349161,55929,"2026-08-31T10:08:33Z"
"130028c4-9c4","impl-reviewer-T16",315,48,26,886,1921541,131062,"2026-08-31T10:33:00Z"
"130028c4-9c4","implementer-T7",71,16,10,107,388194,34608,"2026-08-31T09:40:43Z"
"130028c4-9c4","impl-reviewer-T3",35,12,8,57,271232,65090,"2026-08-31T09:35:34Z"
